Submission ID	Description	Project	Lab	Assay	Data Type	Experimental Factor	Treatment	Organism	Cell Line	Strain	Tissue	Stage/Treatment	Date Data Submitted	Release Date	Status	GFF Files	GEO/SRA IDs
606	E-0-12h-dll	White	White	ChIP-chip	chromatin	Target=Dll;AbName=dll;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/dll_E-0-12h_analysis/MAT_dll_E-0-12h.bed_dcc.gff	GSM400202
607	E-0-12h-dCtBP7667	White	White	ChIP-chip	chromatin	Target=CtBP;AbName=dCtBP-7667;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/dCtBP7667_E-0-12h_analysis/MAT_dCtBP7667_E-0-12h.bed_dcc.gff	GSM400192
608	Embryo 0-12h chinmo ChIP-chip	White	White	ChIP-chip	chromatin	Target=chinmo;AbName=chinmo 70850;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 1-15	6/9/09	6/9/09	released	data/chinmo_E-0-12h_analysis/chinmo_E-0-12h_dcc.gff	GSM400173
609	E-0-12h-bks	White	White	ChIP-chip	chromatin	Target=sbb;AbName=bks;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/bks_E-0-12h_analysis/MAT_bks_E-0-12h.bed_dcc.gff	GSM400172
610	Embryo 7-24h gsbnpurif ChIP-chip	White	White	ChIP-chip	chromatin	Target=gsb-n;AbName=FM:gsbn(purif);Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 12-17	6/9/09	10/6/09	released	data/gsbnpurif_E7-24h_analysis/MAT_gsbnpurif_E7-24h.bed_dcc.gff	GSM402169
611	Embryo 7-24h end300 ChIP-chip	White	White	ChIP-chip	chromatin	Target=en;AbName=en-d300;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 12-17	6/9/09	10/6/09	released	data/end300_E7-24h_analysis/MAT_end300_E7-24h.bed_dcc.gff	GSM400393
612	Embryo 3-8h UBX2 ChIP-chip	White	White	ChIP-chip	chromatin	Target=Ubx;AbName=UBX2;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: extended germ band stage, embryonic stage 8-12	6/9/09	10/6/09	released	data/UBX2_E3-8h_analysis/MAT_UBX2_E3-8h.bed_dcc.gff	GSM400391
613	Embryo 3-8h UBX1 ChIP-chip	White	White	ChIP-chip	chromatin	Target=Ubx;AbName=UBX1;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: extended germ band stage, embryonic stage 8-12	6/9/09	10/6/09	released	data/UBX1_E3-8h_analysis/MAT_UBX1_E3-8h.bed_dcc.gff	GSM400390
614	E0-12h-UBX7701	White	White	ChIP-chip	chromatin	Target=Ubx;AbName=KW0:UBX-7701;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/UBX7701_E0-12h_analysis/MAT_UBX7701_E0-12h.bed_dcc.gff	GSM400371
615	E0-12h-TTK	White	White	ChIP-chip	chromatin	Target=ttk;AbName=KW0:TTK-7691;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/TTK_E0-12h_analysis/MAT_TTK_E0-12h.bed_dcc.gff	GSM400369
616	E0-12h-Stat92E	White	White	ChIP-chip	chromatin	Target=Stat92E;AbName=Rabbit Stat92E (s1189-1);Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/Stat92E_E0-12h_analysis/MAT_Stat92E_E0-12h.bed_dcc.gff	GSM400368
617	E0-12h-RUN7659	White	White	ChIP-chip	chromatin	Target=run;AbName=KW0:RUN-7659;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/RUN7659_E0-12h_analysis/MAT_RUN7659_E0-12h.bed_dcc.gff	GSM400367
618	E0-12h-KN	White	White	ChIP-chip	chromatin	Target=kn;AbName=KW0:KN-7697;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/KN_E0-12h_analysis/MAT_KN_E0-12h.bed_dcc.gff	GSM400366
619	Embryo 0-12h INV-GFP ChIP-chip	White	White	ChIP-chip	chromatin	Target=inv;AbName=INV-GFP;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		INV-GFP	whole organism	embryo: embryonic stage 1-15	6/9/09	10/6/09	released	data/INVGFP_E0-12h_analysis/MAT_INVGFP_E0-12h.bed_dcc.gff	GSM400365
620	E0-12h-H3K36me3	White	White	ChIP-chip	chromatin modification	Target=H3K36Me3,His3:CG33806;AbName=H3K36Me3;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/H3K36me3_E0-12h_analysis/MAT_H3K36me3_E0-12h.bed_dcc.gff	GSM400361
621	E0-12h-H3K9me3	White	White	ChIP-chip	chromatin modification	Target=H3K9Me3,His3:CG33806;AbName=H3K9Me3;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/H3K9me3_E0-12h_analysis/MAT_H3K9me3_E0-12h.bed_dcc.gff	GSM400363
622	E0-12h-H3K4me3	White	White	ChIP-chip	chromatin modification	Target=H3K4Me3,His3:CG33806;AbName=H3K4Me3;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/H3K4me3_E0-12h_analysis/MAT_H3K4me3_E0-12h.bed_dcc.gff	GSM409075
623	E0-12h-Gro3	White	White	ChIP-chip	chromatin	Target=gro;AbName=KW0:Aviva_GRO3;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/Gro3_E0-12h_analysis/MAT_Gro3_E0-12h.bed_dcc.gff	GSM400360
624	E0-12h-FTZ-F1	White	White	ChIP-chip	chromatin	Target=ftz-f1;AbName=FTZ-F1-sc-27222;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/FTZ-F1_E0-12h_analysis/MAT_FTZ-F1_E0-12h.bed_dcc.gff	GSM400204
625	E0-12h-ENserum	White	White	ChIP-chip	chromatin	Target=en;AbName=EN(serum);Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	6/9/09	released	data/ENserum_E0-12h_analysis/MAT_ENserum_E0-12h.bed_dcc.gff	GSM400203
626	E0-12h-D	White	White	ChIP-chip	chromatin	Target=D;AbName=KW0-D;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/D_E0-12h_analysis/MAT_D_E0-12h.bed_dcc.gff	GSM399633
627	E0-12h-CNC	White	White	ChIP-chip	chromatin	Target=cnc;AbName=KW0-CNC;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/CNC_E0-12h_analysis/MAT_CNC_E0-12h.bed_dcc.gff	GSM399627
628	E0-12h-bab1	White	White	ChIP-chip	chromatin	Target=bab1;AbName=bab-1;Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster		y; cn bw sp	embryo	embryo: embryonic stage	6/9/09	10/6/09	released	data/bab1_E0-12h_analysis/MAT_bab1_E0-12h.bed_dcc.gff	GSM399407
630	DPY-27_N2_L4(JL00001_DPY27_N2_L4)	Lieb	Lieb	ChIP-chip	chromatin	Target=dpy-27;AbName=JL00001_DPY27;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	larva: L4 larva	6/11/09	7/24/09	released		, GSE22706, GSM562608, GSM562609, GSM562610, GSM562611
633	Dm Kc167 polyA 002-004 PE RNA-Seq Bowtie	Celniker	Graveley	RNA-seq	RNA profiling			Drosophila melanogaster	Kc167				6/15/09	7/9/09	released		GSM390059
634	small RNA N2 embryos RNA-seq	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		N2	whole organism	embryo: embryo	6/15/09	6/23/09	released		GSM336052
635	small RNA N2 mid-L1 RNA-seq	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		N2	whole organism	larva: L1 larva	6/15/09	6/23/09	released		GSM336055
636	small RNA N2 mid-L2 RNA-seq	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		N2	whole organism	larva: L2 larva	6/15/09	6/23/09	released		GSM336056
637	small RNA N2 mid-L3 RNA-seq	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		N2	whole organism	larva: L3 larva	6/15/09	6/23/09	released		GSM336058
638	small RNA N2 mid-L4 RNA-seq	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		N2	whole organism	larva: L4 larva	6/15/09	6/23/09	released		GSM336059
639	small RNA N2 young adult RNA-seq	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	6/15/09	6/23/09	released		GSM336060
640	small RNA him-8 males RNA-seq	Waterston	Slack	RNA-seq	RNA profiling			Caenorhabditis elegans		CB4689	whole organism	adult: adult male	6/15/09	6/23/09	released		GSM336086
642 deprecated by 2351	mid-L2 20dC 14hrs post-L1 RNASeq	Waterston	Waterston	RNA-seq	RNA profiling	Version=2		Caenorhabditis elegans		N2	whole organism	larva: L2 larva	9/17/09	11/19/09	replaced		
643	E-20-24h-CBP	White	White	ChIP-chip	chromatin	Target=nejire;AbName=CBP_body;Array=160bp;ArrayPlatform=Agilent		Drosophila melanogaster		y; cn bw sp	whole organism	embryo: embryonic stage 17	6/16/09	10/13/09	released	E20-24h-CBP_agilent_dmel3_merged_dcc.gff	
644	DPY-28_N2_MXEMB_(JL00012_DPY28_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin	Target=dpy-28;AbName=JL00012_DPY28;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	6/16/09	8/31/09	released		, GSE22708, GSM562684, GSM562685
645	SDC-2_N2_MXEMB_(SDQ3146_SDC2_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin	Target=sdc-2;AbName=SDQ3146_SDC2, SDQ3148_SDC2;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	6/17/09	8/4/09	released		, GSE22709, GSM562686, GSM562687, GSM562688
650	Dm S2-DRSC polyA 014-016 PE RNA-Seq Bowtie	Celniker	Graveley	RNA-seq	RNA profiling	Version=2		Drosophila melanogaster	S2-DRSC				6/22/09	7/15/09	released		GSM390063
651	Dm ML-DmBG3-c2 polyA 122-124 PE RNA-Seq Bowtie	Celniker	Graveley	RNA-seq	RNA profiling			Drosophila melanogaster	ML-DmBG3-c2				6/22/09	7/15/09	released		GSM390065
652	Dm CME_W1_Cl.8+ polyA 060-062 PE RNA-Seq Bowtie	Celniker	Graveley	RNA-seq	RNA profiling			Drosophila melanogaster	CME W1 Cl.8+				6/22/09	7/15/09	released		GSM390061
654	embryo A-class motor neurons tiling array	Waterston	Miller	tiling array: RNA	transcription	Array=25 base pairs;ArrayPlatform=Affymetrix		Caenorhabditis elegans		NC300	DA neuron, SAB, I5	embryo: embryo	6/22/09	11/4/09	released	emb-A-class_tars_maxgap30_minrun100_thresh8.81.gff3	GSE23278, GSM571513, GSM571513, GSM571514, GSM571515
655	L3-L4 dopaminergic neuron tiling array	Waterston	Miller	tiling array: RNA	transcription	Target=dat-1;AbName=EZview Red FLAG M2 Affinity Gel;Array=25 base pairs;ArrayPlatform=Affymetrix		Caenorhabditis elegans		NC1700	dopaminergic neuron	larva: L3-L4 molt	6/22/09	11/19/09	released	L3-L4-dop_tars_maxgap30_minrun100_thresh10.14.gff3	GSE23279, GSM571516, GSM571516, GSM571517, GSM571518
656	Young Adult reference (mockIP) tiling array	Waterston	Miller	tiling array: RNA	transcription	Target=FLAG;AbName=EZview Red FLAG M2 Affinity Gel;Array=25 base pairs;ArrayPlatform=Affymetrix		Caenorhabditis elegans		N2	organism	larva: newly molted young adult hermaphrodite	6/22/09	11/19/09	released	YA-ref_tars_maxgap30_minrun100_thresh9.66.gff3	GSE23280, GSM571519, GSM571519, GSM571520, GSM571521
657	L2 coelomocytes tiling array	Waterston	Miller	tiling array: RNA	transcription	Target=unc-122;AbName=EZview Red FLAG M2 Affinity Gel;Array=25 base pairs;ArrayPlatform=Affymetrix		Caenorhabditis elegans		NC1668	coelomocyte	larva: L2 larva	6/22/09	11/19/09	released	L2-coelomocytes_tars_maxgap30_minrun100_thresh9.13.gff3	GSE23281, GSM571522, GSM571522, GSM571523, GSM571524
658	L2 glutamate receptor expressing neurons tiling array	Waterston	Miller	tiling array: RNA	transcription	Target=glr-1;AbName=EZview Red FLAG M2 Affinity Gel;Array=25 base pairs;ArrayPlatform=Affymetrix		Caenorhabditis elegans		NC1842	RMD, SMD, URY, AIB, AVA, AVB, AVD, AVE, AVG, PVC, PVQ, RIM	larva: L2 larva	6/22/09	11/19/09	released	L2-glr_tars_maxgap30_minrun100_thresh9.98.gff3	GSE23282, GSM571525, GSM571525, GSM571526, GSM571527
659	L3-L4 reference (mockIP) tiling array	Waterston	Miller	tiling array: RNA	transcription	Target=FLAG;AbName=EZview Red FLAG M2 Affinity Gel;Array=25 base pairs;ArrayPlatform=Affymetrix		Caenorhabditis elegans		N2	organism	larva: L3-L4 molt	6/22/09	11/19/09	released	L3-L4-reference_tars_maxgap30_minrun100_thresh8.52.gff3	GSE23283, GSM571528, GSM571528, GSM571529, GSM571530
660	Young Adult Cephalic sheath (CEPsh) tiling array	Waterston	Miller	tiling array: RNA	transcription	Target=hlh-17;AbName=EZview Red FLAG M2 Affinity Gel;Array=25 base pairs;ArrayPlatform=Affymetrix		Caenorhabditis elegans		OS3991	CEPshDR, CEPshVR, CEPshVL	larva: newly molted young adult hermaphrodite	6/22/09	11/19/09	released	YA-CEPsh_tars_maxgap30_minrun100_thresh8.38.gff3	GSE23284, GSM571531, GSM571531, GSM571532, GSM571533
661	embryo germline precursor cells tiling array	Waterston	Miller	tiling array: RNA	transcription	Array=25 base pairs;ArrayPlatform=Affymetrix		Caenorhabditis elegans		SS747	germ line precursor cell	embryo: embryo	6/22/09	11/4/09	released	emb-GLP_tars_maxgap30_minrun100_thresh7.83.gff3	GSE23285, GSM571534, GSM571534, GSM571535, GSM571536
662	embryo hypodermal cells tiling array	Waterston	Miller	tiling array: RNA	transcription	Array=25 base pairs;ArrayPlatform=Affymetrix		Caenorhabditis elegans		DM8001	hypodermal cell	embryo: embryo	6/22/09	11/4/09	released	emb-hypodermis_tars_maxgap30_minrun100_thresh7.75.gff3	GSE23286, GSM571537, GSM571537, GSM571538, GSM571539
663	Pol_II_CTD_N2_EEMB_(ABAB817_8WG16_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin	Target=ama-1;AbName=ABAB817_8WG16;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	6/26/09	2/17/10	released		, GSE22710, GSM562689, GSM562690, GSM562691
666	Ellen's Test Project	Stein	Stein										3/5/10		reviewing		
668	Kc167 Replication Timing	MacAlpine	MacAlpine	tiling array: DNA	replication timing	Array=470bp;ArrayPlatform=Agilent		Drosophila melanogaster	Kc167				6/30/09	6/30/09	released		GSE17279, GSM432694, GSM432695, GSM432696
669	S2 Replication Timing	MacAlpine	MacAlpine	tiling array: DNA	replication timing	Array=470bp;ArrayPlatform=Agilent		Drosophila melanogaster	S2-DRSC				6/30/09	6/30/09	released		GSE17280, GSM432697, GSM432698, GSM432699
670	Bg3 Replication Timing	MacAlpine	MacAlpine	tiling array: DNA	replication timing	Array=470bp;ArrayPlatform=Agilent		Drosophila melanogaster	ML-DmBG3-c2				6/30/09	6/30/09	released		GSE17281, GSM432701, GSM432702, GSM432703
674	pre-RC complexes ORC Kc	MacAlpine	MacAlpine	ChIP-chip	replication factors	Target=Orc2;AbName=dORC2;Array=112bp;ArrayPlatform=Agilent		Drosophila melanogaster	Kc167				6/30/09	6/30/09	released	orc_meta_peaks.gff	GSE17282, GSM432704, GSM432705, GSM432706, GSM432707, GSM432708, GSM432709, GSM432710, GSM432711
675	pre-RC complexes MCM_cycE Kc	MacAlpine	MacAlpine	ChIP-chip	replication factors	Target=MCM2-7 complex;AbName=Pan MCM2-7 body;Array=112bp;ArrayPlatform=Agilent		Drosophila melanogaster	Kc167				6/30/09	6/30/09	released	mcm_meta_peaks.gff	GSE17283, GSM432712, GSM432713, GSM432714, GSM432715, GSM432716, GSM432717, GSM432718, GSM432719
691	Histone_H3K9me3_N2_EEMB_1_(UP07442_H3K9ME3_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification	Target=H3K9Me3;AbName=H3K9Me3;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	7/6/09	2/17/10	released		, GSE22711, GSM562692, GSM562693, GSM562694
693	DPY27_11DH(I;X)_MXEMB(JL00001_DPY27_11DH_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin	Target=dpy-27;AbName=JL00001_DPY27;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		YPT40	whole organism	embryo: proliferating embryo	7/8/09	2/17/10	released		, GSE22712, GSM562695, GSM562696
695	DPY27_YPT41(II;X)_MXEMB(JL00001_DPY27_YPT41_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin	Target=dpy-27;AbName=JL00001_DPY27;Array=40bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		YPT41	whole organism	embryo: proliferating embryo	7/8/09	2/17/10	released		, GSE22713, GSM562697, GSM562698
696	DPY27_YPT47(V;X)_MXEMB(JL00001_DPY27_YPT47_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin	Target=dpy-27;AbName=JL00001_DPY27;Array=86bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		YPT47	whole organism	embryo: proliferating embryo	7/9/09	8/4/09	released		, GSE22714, GSM562699, GSM562700, GSM562701
701	SDC3_YPT47(V;X)_MXEMB(JL00002_SDC3_YPT47_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin	Target=sdc-3;AbName=JL00002_SDC3;Array=86bp;ArrayPlatform=Nimblegen		Caenorhabditis elegans		YPT47	whole organism	embryo: proliferating embryo	7/10/09	8/4/09	released		, GSE22715, GSM562702, GSM562703
709	Kc167 Replication Origins	MacAlpine	MacAlpine	tiling array: DNA	origins of replication	Array=470bp;ArrayPlatform=Agilent		Drosophila melanogaster	Kc167				7/13/09	7/13/09	released	early_origins/Kc/MA2C_Output/Kc_early_origins_peaks.gff	GSE17285, GSM432725, GSM432726, GSM432727, GSM432728
710	S2 Replication Origins	MacAlpine	MacAlpine	tiling array: DNA	origins of replication	Array=470bp;ArrayPlatform=Agilent		Drosophila melanogaster	S2-DRSC				7/13/09	7/13/09	released	early_origins/S2/MA2C_Output/S2_early_origins_peaks.gff	GSE17286, GSM432729, GSM432730, GSM432731
711	Bg3 Replication Origins	MacAlpine	MacAlpine	tiling array: DNA	origins of replication	Array=470bp;ArrayPlatform=Agilent		Drosophila melanogaster	ML-DmBG3-c2				7/13/09	7/13/09	released	early_origins/Bg3/MA2C_Output/Bg3_early_origins_peaks.gff	GSE17287, GSM432732, GSM432733, GSM432734
712	Dm Dm adult whole_fly 057 RNASeq Bowtie	Celniker	Brent	RNA-seq	transcription			Drosophila melanogaster		y; cn bw sp	whole organism	adult: adult stage	7/14/09	7/16/09	released		GSM339263
713	Dm_ML_BG3-c2_polyApRNA_p200_485-486-487_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmBG3-c2				7/14/09	8/3/09	released	Dro2_AS_MLDmBG3-c2_PolyA+_899.gff	GSE23225, GSM571111, GSM571111, GSM571112, GSM571113
715	Dm_S2-DRSC_nuclearRNA_p200_482-483-484_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	S2-DRSC				7/14/09	8/3/09	released	Dro2_AS_S2-DRSC_nuclear_898.gff	GSE23226, GSM571114, GSM571114, GSM571115, GSM571116
716	Dm_Bg3-c2_nuclearRNA_p200_488_489_490_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	ML-DmBG3-c2				7/14/09	8/3/09	released	Dro2_AS_MLDmBG3-c2_nuclear_926.gff	GSE23227, GSM571117, GSM571117, GSM571118, GSM571119
717	Dm_C1.8_polyApRNA_p200_491_492_493_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	CME W1 Cl.8+				7/14/09	8/3/09	released	Dro2_AS_C1.8_PolyA+_927.gff	GSE23228, GSM571120, GSM571120, GSM571121, GSM571122
718	Dm_S2-DRSC_polyApRNA_p200_479-480-481_38bp	Celniker	Gingeras	tiling array: RNA	transcription	Array=38bp;ArrayPlatform=Affymetrix		Drosophila melanogaster	S2-DRSC				7/15/09	8/3/09	released	Dro2_AS_S2-DRSC_PolyA+_897.gff	GSE23229, GSM571123, GSM571123, GSM571124, GSM571125
720 deprecated by 2383	CGH Salivary Y cn bw sp	MacAlpine	Orr-Weaver	tiling array: DNA	copy number variation	Array=470bp;ArrayPlatform=Agilent		Drosophila melanogaster		y; cn bw sp	larval salivary gland	embryo: cleavage stage, early extended germ band stage, embryonic stage, pre-blastoderm stage, embryonic stage 1-9	7/17/09	7/17/09	replaced	salivary_244_trough_peaks.gff	GSE17288, GSM432735
725	CGH S2-DRSC	MacAlpine	MacAlpine	tiling array: DNA	chromatin modification	Array=470bp;ArrayPlatform=Agilent		Drosophila melanogaster	S2-DRSC				7/20/09	7/20/09	released		GSE17292, GSM432743, GSM432744
727 deprecated by 2384	CGH Follicle OregonR-mod	MacAlpine	Orr-Weaver	tiling array: DNA	copy number variation	Array=470bp;ArrayPlatform=Agilent		Drosophila melanogaster		Oregon-R-modENCODE	oocyte associated follicle cell	embryo: cleavage stage, early extended germ band stage, embryonic stage, pre-blastoderm stage, embryonic stage 1-9	7/20/09	7/20/09	replaced	follicle_244_peaks.gff	
728 deprecated by 2385	CGH Follicle Cells Orr-Weaver	MacAlpine	Orr-Weaver	tiling array: DNA	copy number variation	Array=616;ArrayPlatform=Agilent		Drosophila melanogaster		Oregon-R_Orr-Weaver	oocyte associated follicle cell	embryo: cleavage stage, early extended germ band stage, embryonic stage, pre-blastoderm stage, embryonic stage 1-9	7/20/09	7/20/09	replaced	follicle_188_peaks.gff	
729 deprecated by 2386	CGH Salivary OregonR-Orr-Weaver	MacAlpine	Orr-Weaver	tiling array: DNA	copy number variation	Array=616;ArrayPlatform=Agilent		Drosophila melanogaster		Oregon-R_Orr-Weaver	larval salivary gland	embryo: cleavage stage, early extended germ band stage, embryonic stage, pre-blastoderm stage, embryonic stage 1-9	7/20/09	7/20/09	replaced	salivary_188_trough_peaks.gff	
734	Snyder_CEH-14_GFP_L2	Snyder	Snyder	ChIP-seq	chromatin	Target=eGFP;AbName=eGFP		Caenorhabditis elegans		OP73	whole organism	larva: L2 larva	7/20/09	11/28/09	released	Snyder_CEH-14_GFP_L2_combined_peaks.GFF3	GSM435293
737	Dm Canton-S Adult Female Head smallRNA RNA-Seq	Lai	Lai	RNA-seq	RNA profiling	Version=2		Drosophila melanogaster		Canton-S	adult head	adult: adult stage	6/13/08	6/13/08	released		GSM240749
738	Kc167 smallRNA RNA-Seq	Lai	Lai	RNA-seq	RNA profiling	Version=2		Drosophila melanogaster	Kc167				6/13/08	6/13/08	released		GSM272653
739	Dm Canton-S Adult Male Body smallRNA RNA-Seq	Lai	Lai	RNA-seq	RNA profiling	Version=2		Drosophila melanogaster		Canton-S	abdomen, thorax	adult: adult stage	6/13/08	3/31/09	released		GSM286602
740	Dm Canton-S Embryo 2-6h smallRNA RNA-Seq	Lai	Lai	RNA-seq	RNA profiling	Version=2		Drosophila melanogaster		Canton-S	whole organism	embryo: embryonic stage	6/13/08	6/12/09	released		GSM286605
741	S2/Kc167 + Ecdysone exposure smallRNA RNA-Seq	Lai	Lai	RNA-seq	RNA profiling	Version=2		Drosophila melanogaster	mixed: S2-DRSC, Kc167				9/17/09	2/15/10	released		GSM272651
742	Dm Canton-S Imaginal Disk smallRNA RNA-Seq	Lai	Lai	RNA-seq	RNA profiling	Version=2		Drosophila melanogaster		Canton-S	imaginal disc	adult: adult stage	9/17/09	12/23/09	released		GSM275691
743	Dm Canton-S Adult Female Body smallRNA RNA-Seq	Lai	Lai	RNA-seq	RNA profiling	Version=2		Drosophila melanogaster		Canton-S	abdomen, thorax	adult: adult stage	6/13/08	3/2/09	released		GSM286603
744 superseded by 2675	MB7 gene models	Celniker	Brent	Computational annotation	gene model			Drosophila melanogaster					8/3/09	8/20/09	replaced	models/MB07.gff3, transcript_clusters/dm3_run11.gff3	
745	Dm Canton-S Embryo 0-1h smallRNA RNA-Seq (2)	Lai	Lai	RNA-seq	RNA profiling	Version=2		Drosophila melanogaster		Canton-S	whole organism	embryo: embryonic stage	9/17/09	10/15/10	released		GSM286613
746	S2-DRSC smallRNA RNA-Seq	Lai	Lai	RNA-seq	RNA profiling	Version=2		Drosophila melanogaster	S2-GMR				6/13/08	3/9/09	released		GSM272652
747	Dm Canton-S Adult Male Head smallRNA RNA-Seq	Lai	Lai	RNA-seq	RNA profiling	Version=2		Drosophila melanogaster		Canton-S	adult head	adult: adult stage	9/19/08	6/16/09	released		GSM286601
748	Dm Canton-S 3rd Instar Larvae smallRNA RNA-Seq	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	whole organism	larva: third instar larval stage	10/9/08	3/2/09	released		GSM322208
749	Dm Canton-S 3rd Instar Larvae smallRNA RNA-Seq (2)	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	whole organism	larva: third instar larval stage	10/9/08	3/31/09	released		GSM322245
750	Dm Canton-S Adult Female Head smallRNA RNA-Seq (2)	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	adult head	adult: adult stage	10/9/08	4/6/09	released		GSM322533
751	Dm Canton-S Adult Male Head smallRNA RNA-Seq (2)	Lai	Lai	RNA-seq	RNA profiling			Drosophila melanogaster		Canton-S	adult head	adult: adult stage	10/9/08	4/6/09	released		GSM322543
752	Dm Canton-S Embryo 2-6h smallRNA RNA-Seq (2)	Lai	Lai	RNA-seq	RNA profiling	Version=2		Drosophila melanogaster		Canton-S	whole organism	embryo: embryonic stage	6/13/08	4/3/09	released		GSM286606
